CPDB Officer ID,Self Evaluation,K Means Evalutions,D-Tree Regression Prediction,D Tree Result
3764,0,0,0.002191086,0
3766,1,1,0.998954928,1
3783,1,1,0.998888365,1
3789,0,0,-0.002537959,0
3793,1,1,0.99857581,1
3803,1,1,1.000724235,1
3809,1,1,1.002211223,1
3815,0,0,0.000209229,0
3819,1,1,0.99878327,1
3820,1,1,1.001350109,1
3824,0,0,0.003431379,0
3832,1,1,0.998055086,1
3860,1,1,0.99878327,1
3875,0,0,0.015766384,0
3876,1,1,1.024435501,1
3877,1,1,0.998363008,1
3884,1,1,0.998320685,1
3903,1,1,1.001518602,1
3905,1,1,1.000964932,1
3906,0,0,0.008760726,0
3908,0,0,0.005124945,0
3911,1,1,1.002363434,1
3925,1,1,0.999095128,1
3934,1,1,1.002211223,1
3936,1,1,0.998656842,1
3943,1,1,0.998320685,1
3950,0,0,-0.003267738,0
3955,1,0,-0.002282747,0
3984,1,1,1.001409655,1
3991,1,1,0.998363008,1
3995,1,1,1.028644069,1
3996,1,1,1.023703381,1
3999,1,1,0.996444887,1
4005,1,1,0.998849196,1
4026,1,1,0.995901609,1
4028,1,1,1.001479103,1
4029,1,1,0.997944429,1
4032,1,1,0.995053098,1
4033,0,0,0.006694809,0
4039,1,1,1.000196975,1
4042,1,1,0.998731457,1
4053,1,1,1.001518602,1
4068,1,1,1.001518602,1
4069,1,1,0.99947733,1
4073,1,1,0.999427798,1
4081,1,0,-0.015731901,0
4101,1,1,0.999833532,1
4111,1,1,1.000461074,1
4137,1,1,0.997264078,1
4139,1,1,1.004747985,1
4140,1,1,0.998196819,1
4142,1,1,0.99852154,1
4145,1,0,0.009740472,0
4155,1,1,1.000042318,1
4162,1,1,1.001479103,1
4184,1,1,1.00165212,1
4189,1,1,0.998363008,1
4199,1,1,0.99927089,1
4206,1,1,0.996336118,1
4214,1,1,0.998363008,1
4226,1,0,-0.020058287,0
4228,1,1,1.000714615,1
4232,1,0,0.013550535,0
4247,1,1,1.00138052,1
4262,1,1,1.011752154,1
4296,1,1,0.997766694,1
4298,1,1,0.999982495,1
4299,1,0,-0.005960941,0
4307,1,1,0.999358639,1
4328,1,1,1.00031083,1
4347,1,0,-0.033969435,0
4350,1,0,-0.003590523,0
4352,1,1,0.999444494,1
4363,1,1,1.00020533,1
4368,1,1,0.999562233,1
4381,1,1,1.000552491,1
4382,1,1,1.000796028,1
4385,0,0,0.001936214,0
4391,1,1,1.000378612,1
4397,1,1,1.00008759,1
4400,1,1,0.963083078,1
4404,1,1,0.999920936,1
4420,1,1,1.000336289,1
4423,1,1,1.000059102,1
4439,1,1,1.000675116,1
4440,1,1,0.999562233,1
4445,1,1,1.00017606,1
4459,1,1,0.99951991,1
4461,1,1,0.99610556,1
4463,1,0,0.058269389,0
4470,1,1,1.001407236,1
4473,1,0,0.053497509,0
4474,1,1,0.999775035,1
4487,1,1,1.003423036,1
4496,1,1,0.999753664,1
4497,1,1,1.000748534,1
4506,1,1,0.999332866,1
4538,1,1,1.129766057,1
4540,1,1,1.000427793,1
4541,1,1,0.999852854,1
4557,1,1,0.999562233,1
4558,1,1,1.000627023,1
4559,1,0,0.002475667,0
4561,1,1,1.000294353,1
4563,1,1,0.999958721,1
4581,1,1,1.00020533,1
4605,1,1,0.999540431,1
4609,1,1,1.000294353,1
4615,1,1,0.998675389,1
4625,1,1,0.999422184,1
4634,1,1,0.997442368,1
4636,1,1,0.502121986,0
4637,1,1,1.001739399,1
4651,1,1,0.999562233,1
4658,1,1,0.99951991,1
4665,1,0,-0.001683226,0
4666,1,1,1.000375809,1
4667,1,1,0.999562233,1
4674,1,0,0.350548347,0
4687,0,0,-0.00093431,0
4719,1,1,1.000124228,1
4738,1,1,1.000714615,1
4742,0,0,-0.005376433,0
4747,1,1,1.000584701,1
4751,1,1,0.999982495,1
4754,1,1,0.9974919,1
4763,1,1,1.000306347,1
4766,1,1,1.000643835,1
4778,1,1,0.999982495,1
4784,1,1,0.999843762,1
4800,1,1,1.00017606,1
4807,0,0,0.002906824,0
4812,1,0,-0.009072815,0
4826,1,1,1.001057592,1
4830,1,1,0.997843393,1
4839,0,0,0.004419963,0
4852,1,1,0.999944709,1
4866,1,1,1.022594996,1
4875,1,1,1.001408109,1
4893,1,1,1.001217874,1
4901,1,1,0.999983927,1
4908,1,1,1.000230106,1
4916,1,1,0.999926268,1
4919,0,0,0.00462637,0
4926,0,0,-0.006921041,0
4929,0,0,-0.003339604,0
4931,1,1,0.999963258,1
4935,1,1,0.961700659,1
4937,1,1,0.999956285,1
4946,1,1,1.000050608,1
4951,1,1,1.000819157,1
4953,1,1,1.000295885,1
4978,1,1,1.000418131,1
4981,1,1,1.000819157,1
4998,1,1,0.997442368,1
5038,1,1,1.000716047,1
5043,1,1,1.001642568,1
5046,1,1,0.999791315,1
5049,1,1,0.999803196,1
5051,1,1,1.001076141,1
5052,0,0,0.003729524,0
5055,1,1,0.999226601,1
5064,1,1,0.999905321,1
5066,1,1,0.998119643,1
5071,1,1,0.999823209,1
5082,1,1,1.000317853,1
5085,1,1,1.030274255,1
5097,1,1,0.994528299,1
5133,1,1,1.000139403,1
5144,1,1,1.000873517,1
5159,1,1,1.010915496,1
5160,1,1,1.000337029,1
5162,1,0,-0.008843754,0
5169,1,1,0.999273462,1
5189,1,1,1.000310728,1
5192,1,1,1.000163007,1
5193,0,0,0.003390311,0
5195,1,1,0.999379861,1
5200,1,1,0.999226601,1
5204,1,1,0.99896237,1
5205,0,0,0.001185704,0
5210,0,0,0.001821877,0
5218,1,1,0.999940172,1
5220,1,1,0.99951991,1
5225,1,0,0.059665856,0
5241,1,1,0.999817455,1
5248,1,1,0.998498418,1
5265,1,1,0.9975841,1
5267,1,1,1.001614291,1
5268,1,1,1.003067323,1
5271,1,1,1.000584701,1
5277,1,1,1.000467737,1
5290,1,1,1.00020533,1
5300,1,1,1.000714615,1
5312,1,1,0.999982495,1
5321,1,1,0.998174488,1
5322,1,1,0.999406523,1
5323,1,1,1.026755847,1
5324,0,0,-0.001933682,0
5325,1,1,1.001076141,1
5328,1,1,1.001701193,1
5329,1,1,1.000935366,1
5330,1,1,1.000967177,1
5340,1,1,1.001288943,1
5343,1,1,1.001965784,1
5345,1,1,1.001316821,1
5347,1,0,-0.011125338,0
5361,1,1,1.00009708,1
5379,1,1,0.999562233,1
5381,1,1,1.001291446,1
5390,1,1,0.9975841,1
5403,1,1,1.000196942,1
5404,1,1,0.999400014,1
5411,1,1,1.02103377,1
5412,1,1,0.998938377,1
5423,1,1,0.999775035,1
5425,1,1,0.999422184,1
5427,1,1,0.999982495,1
5440,1,1,0.999290543,1
5468,0,0,-0.002400929,0
5469,1,1,0.999982495,1
5471,1,1,0.999422184,1
5481,1,1,0.998339351,1
5487,1,1,1.001407236,1
5488,1,1,1.000816849,1
5500,1,1,1.000124228,1
5501,1,1,0.99951991,1
5511,1,1,0.999429938,1
5513,1,1,1.00038352,1
5523,1,0,0.019823378,0
5530,1,1,0.999148219,1
5532,1,1,0.999586226,1
5549,1,1,1.000261224,1
5550,1,1,0.998784517,1
5553,1,1,1.000139403,1
5558,1,1,1.00017606,1
5565,1,1,0.99951991,1
5566,1,1,1.003293784,1
5585,1,1,0.998357901,1
5590,1,1,0.999905321,1
5613,1,1,0.999720765,1
5625,0,0,-0.000712616,0
5629,0,0,-0.00992527,0
5637,1,1,1.000377766,1
5638,1,1,0.999629169,1
5652,1,1,0.998017529,1
5653,1,1,0.999389534,1
5657,1,1,1.002366809,1
5659,1,1,1.000738055,1
5663,0,0,0.011436071,0
5671,1,1,1.000596322,1
5672,1,1,1.000306347,1
5685,1,1,1.000216926,1
5694,1,1,1.000540095,1
5695,1,1,0.999905321,1
5699,1,1,1.000596322,1
5700,1,1,1.00017606,1
5714,1,1,1.001318717,1
5738,1,1,1.000714615,1
5739,0,0,-0.007906868,0
5740,1,1,1.000675116,1
5741,1,1,1.000048422,1
5750,1,0,0.131775024,0
5760,1,1,0.999823209,1
5762,1,1,1.000748534,1
5763,1,0,0.005246476,0
5765,1,1,0.999563916,1
5767,1,1,0.999775035,1
5775,1,1,0.999001922,1
5801,1,1,1.000596322,1
5821,1,1,0.994859144,1
5837,1,1,1.000363862,1
5852,1,1,0.999562233,1
5855,1,1,0.999543684,1
5866,1,1,1.002392419,1
5888,1,1,1.002120772,1
5912,1,1,0.999963258,1
5914,1,1,1.00020533,1
5918,1,1,0.999188681,1
5924,1,1,0.999562233,1
5930,1,1,0.998247633,1
5933,1,1,1.000486858,1
5955,1,1,0.999982495,1
5957,1,1,0.99973525,1
5962,1,1,1.000139403,1
5963,1,1,0.998938377,1
5968,1,1,1.000519648,1
5997,1,1,1.028696275,1
6010,1,1,0.962344448,1
6013,1,1,1.000726433,1
6019,1,1,1.000559088,1
6022,1,1,0.999254312,1
6027,1,1,1.000134707,1
6037,1,1,0.999562233,1
6043,0,0,0.01642382,0
6064,1,1,1.000751644,1
6068,1,1,0.999963258,1
6073,1,1,0.999114446,1
6081,1,1,1.000195297,1
6084,1,1,1.000317853,1
6087,1,1,1.001318717,1
6089,1,1,1.000157443,1
6091,1,1,1.000427793,1
6092,1,1,0.999963258,1
6093,1,1,1.000133737,1
6099,1,1,0.996226138,1
6115,1,1,0.998694001,1
6135,1,1,1.000124228,1
6137,1,1,1.00027553,1
6140,1,1,0.997535343,1
6154,1,1,1.000448079,1
6173,1,0,-0.005421508,0
6175,1,1,0.999940172,1
6178,1,0,0.049786149,0
6179,1,1,1.001452863,1
6180,1,1,1.002792125,1
6181,1,1,0.997936368,1
6201,1,1,0.999753128,1
6224,0,0,-0.062775357,0
6232,1,1,0.999559917,1
6237,1,1,1.000009571,1
6259,1,1,0.999867838,1
6261,1,1,1.002485566,1
6264,0,0,-0.000343843,0
6265,1,1,0.999867838,1
6266,1,1,1.0002881,1
6271,1,1,0.999962875,1
6272,1,1,1.000466551,1
6311,1,1,1.002941176,1
6315,0,0,0.002377254,0
6317,1,1,1.001103391,1
6328,1,1,1.029360583,1
6346,1,1,0.999788154,1
6347,1,1,1.00241338,1
6358,0,0,-0.003870505,0
6365,1,1,1.000483362,1
6368,1,1,1.000459758,1
6369,1,1,1.000792532,1
6372,1,1,1.000684217,1
6376,1,1,1.000682593,1
6379,1,1,1.001939859,1
6400,0,0,0.003606643,0
6407,1,1,1.000459758,1
6417,0,0,0.000557517,0
6424,1,1,1.000980721,1
6430,1,1,1.000289532,1
6442,1,1,1.00009692,1
6443,1,1,1.001122454,1
6450,1,1,0.998029976,1
6453,1,1,1.000512559,1
6463,1,1,0.997580535,1
6464,1,1,0.991017288,1
6465,1,1,1.001122454,1
6468,0,0,0.003840477,0
6470,1,1,1.000281568,1
6495,1,1,1.001172432,1
6503,1,1,0.999727789,1
6506,1,1,0.997155599,1
6514,1,1,0.996462978,1
6518,1,1,1.000459758,1
6519,1,1,1.000459758,1
6524,1,1,1.000268863,1
6548,1,1,1.028358784,1
6563,0,0,-0.002341378,0
6584,1,1,1.00038751,1
6593,0,0,0.003373689,0
6596,0,0,0.005778496,0
6603,1,1,0.999364163,1
6605,0,0,-0.005207641,0
6607,1,1,1.002047205,1
6613,1,1,0.999867838,1
6627,1,1,1.000429833,1
6634,1,1,1.003567462,1
6635,1,1,0.999559917,1
6644,1,1,1.000222372,1
6655,1,1,1.000811476,1
6656,1,1,1.001208719,1
6657,1,1,1.000510935,1
6665,1,1,1.000261515,1
6666,1,1,1.00008064,1
6668,1,0,-0.003072823,0
6670,1,1,0.961776002,1
6671,1,1,0.999867838,1
6673,1,1,0.999825516,1
6674,1,1,1.00008064,1
6678,0,0,-0.001253166,0
6685,1,1,1.0002881,1
6697,1,1,0.999867838,1
6700,1,1,1.000099835,1
6704,1,1,1.035871011,1
6707,1,1,0.965469064,1
6710,1,1,1.000669467,1
6711,1,1,1.00059722,1
6715,1,1,1.001243055,1
6717,0,0,0.004931975,0
6729,1,1,0.928445099,1
6734,1,0,0.033237425,0
6745,1,1,1.00102022,1
6747,0,0,0.001777549,0
6753,1,1,1.00102022,1
6756,1,1,1.001851816,1
6765,1,0,0.003704104,0
6781,1,1,1.134578315,1
6791,1,1,1.001132933,1
6797,0,0,-0.0000954,0
6799,1,1,1.002271389,1
6817,1,1,0.961568671,1
6844,1,1,0.993415751,1
6846,1,1,1.009029992,1
6855,1,1,0.958527137,1
6856,0,0,-0.006615436,0
6861,1,1,0.998380221,1
6864,1,1,0.999867838,1
6883,1,1,1.000245778,1
6889,1,1,1.0002881,1
6897,1,1,1.000274196,1
6903,1,1,0.999579479,1
6906,1,1,1.000684217,1
6912,1,0,-0.009858385,0
6914,1,1,1.028358784,1
6925,1,1,1.000445008,1
6927,1,1,1.000980721,1
6940,1,1,1.000445008,1
6955,0,0,0.003695917,0
6989,1,1,1.003986755,1
6995,1,1,1.000459758,1
6996,1,0,-0.008332433,0
7001,1,1,0.999750099,1
7013,1,1,1.001546455,1
7015,0,0,0.008214194,0
7018,1,1,1.001499706,1
7021,1,1,1.001333654,1
7025,1,1,1.000905056,1
7032,1,1,0.996779376,1
7043,1,1,1.028358784,1
7044,1,1,1.000546303,1
7070,1,1,0.999701649,1
7072,0,0,0.001372557,0
7074,1,1,1.000320087,1
7077,1,1,1.002757577,1
7081,1,1,0.998480093,1
7113,1,1,1.000151124,1
7114,1,1,1.003141028,1
7130,1,1,1.002647461,1
7153,1,1,0.999727789,1
7159,1,1,1.000510935,1
7172,1,0,0.059925453,0
7182,1,1,0.494103108,0
7188,1,1,0.999307527,1
7194,1,1,1.00102022,1
7199,0,0,-0.000343843,0
7201,1,1,0.499726934,0
7202,1,1,1.0002881,1
7209,1,1,1.000690557,1
7211,1,1,0.999894129,1
7212,1,1,1.001393103,1
7213,1,1,1.037834108,1
7226,1,0,0.039804232,0
7238,1,1,1.001415492,1
7239,1,1,1.000775721,1
7241,1,0,-0.021167224,0
7242,1,1,1.001643233,1
7243,1,1,1.001193104,1
7244,0,0,0.003724361,0
7248,1,0,-0.013042232,0
7250,1,1,1.002524387,1
7252,1,1,1.003983291,1
7255,1,1,1.002939169,1
7263,1,1,0.992436253,1
7270,1,1,1.000161618,1
7271,1,1,1.003749151,1
7272,1,1,1.003749151,1
7313,1,1,1.002892749,1
7318,1,1,1.002732133,1
7321,1,1,1.002200128,1
7325,1,1,1.002992159,1
7328,1,1,1.030843264,1
7329,1,1,1.001950345,1
7330,1,1,1.001950345,1
7335,1,1,1.003050261,1
7341,1,1,0.997448405,1
7347,0,0,0.006710458,0
7349,1,1,1.003490897,1
7355,1,1,1.001471945,1
7361,1,1,1.001779866,1
7374,1,1,1.002892749,1
7388,1,1,1.003050261,1
7391,0,0,0.011409617,0
7392,1,1,1.030228489,1
7399,1,1,1.002200128,1
7414,1,1,1.003050261,1
7432,1,1,1.002046713,1
7437,1,0,0.000832453,0
7464,1,1,1.006209384,1
7473,1,0,-0.025141145,0
7501,1,1,1.004822651,1
7503,1,1,1.001702692,1